V4,code,commodity,parent,Family Or Group,General Groups
H3,30349,"030349
Name: Tunas (excl. of 0303.41-0303.46), frozen (excl. fillets/other fish meat of 03.04/livers & roes)
Description: -- Other",3034,OTHER TUNA,TUNA
H4,30349,"030349
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, frozen, excluding fish fillets and other fish meat of heading03.04. // - Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding li
Description: -- Other",3034,"TUNAS, SKIPJACK OR STRIPE-BELLIED BONITO",TUNA
H2,30350,"030350 - - Herrings (Clupea harengus, Clupea pallasii), excluding Livers and roes",303,HERRINGS,HERRINGS
H3,30351,"030351 - --  Herrings (Clupea harengus, Clupea pallasii)",3035,HERRINGS,HERRINGS
H4,30351,"030351 - -- Herrings (Clupea harengus, Clupea pallasii)",3035,HERRINGS,HERRINGS
H3,30352,"030352 - --  Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",3035,COD,COD
H4,30353,"030353 - -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",3035,"SARDINES , SARDINELLA , BRISLING OR SPRATS",HERRINGS
H4,30354,"030354 - -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",3035,MACKEREL,MACKEREL
H4,30355,030355 - -- Jack and horse mackerel (Trachurus spp.),3035,JACK AND HORSE MACKEREL,MACKEREL
H4,30356,030356 - -- Cobia (Rachycentron canadum),3035,COBIA,COBIA
